Time,color,Sleep,Rest,Active,Walk,Run
00:01:26,"=""56,108,176""",0.660645,,,,
00:02:40,"=""56,108,176""",0.660645,,,,
00:03:19,"=""56,108,176""",0.660645,,,,
00:04:50,"=""56,108,176""",0.660645,,,,
00:05:39,"=""56,108,176""",0.660645,,,,
00:06:12,"=""56,108,176""",0.660645,,,,
00:07:44,"=""56,108,176""",0.660645,,,,
00:08:08,"=""56,108,176""",0.660645,,,,
00:09:21,"=""56,108,176""",0.660645,,,,
00:10:25,"=""56,108,176""",0.660645,,,,
00:11:14,"=""56,108,176""",0.660645,,,,
00:12:50,"=""56,108,176""",0.660645,,,,
00:13:55,"=""56,108,176""",0.660645,,,,
00:14:06,"=""56,108,176""",0.660645,,,,
00:15:05,"=""56,108,176""",0.660645,,,,
00:16:07,"=""56,108,176""",0.660645,,,,
00:17:45,"=""56,108,176""",0.660645,,,,
00:18:46,"=""56,108,176""",0.660645,,,,
00:19:16,"=""56,108,176""",0.660645,,,,
00:20:01,"=""255,255,153""",,0.660645,,,
00:21:17,"=""255,255,153""",,0.660645,,,
00:22:46,"=""255,255,153""",,0.660645,,,
00:23:22,"=""255,255,153""",,0.660645,,,
00:24:06,"=""255,255,153""",,0.660645,,,
00:25:30,"=""255,255,153""",,0.660645,,,
00:26:05,"=""56,108,176""",0.660645,,,,
00:27:10,"=""56,108,176""",0.660645,,,,
00:28:05,"=""56,108,176""",0.660645,,,,
00:29:11,"=""56,108,176""",0.660645,,,,
00:30:19,"=""56,108,176""",0.660645,,,,
00:31:49,"=""56,108,176""",0.660645,,,,
00:32:45,"=""56,108,176""",0.660645,,,,
00:33:08,"=""56,108,176""",0.660645,,,,
00:34:47,"=""56,108,176""",0.660645,,,,
00:35:38,"=""56,108,176""",0.660645,,,,
00:36:47,"=""253,192,134""",,,1.00668,,
00:37:34,"=""253,192,134""",,,0.660645,,
00:38:03,"=""253,192,134""",,,0.660645,,
00:39:25,"=""253,192,134""",,,0.660645,,
00:40:12,"=""253,192,134""",,,0.660645,,
00:41:01,"=""253,192,134""",,,0.660645,,
00:42:52,"=""253,192,134""",,,0.882856,,
00:43:03,"=""253,192,134""",,,0.660645,,
00:44:08,"=""253,192,134""",,,0.660645,,
00:45:23,"=""253,192,134""",,,0.788158,,
00:46:59,"=""253,192,134""",,,0.660645,,
00:47:28,"=""253,192,134""",,,0.660645,,
00:48:06,"=""253,192,134""",,,3.36373,,
00:49:30,"=""255,255,153""",,2.85617,,,
00:50:26,"=""255,255,153""",,2.41066,,,
00:51:00,"=""255,255,153""",,1.95806,,,
00:52:43,"=""255,255,153""",,1.33791,,,
